time,blanket.T=6.000_blanket.TBR=1.050,blanket.T=6.000_blanket.TBR=1.070,blanket.T=6.000_blanket.TBR=1.090,blanket.T=6.000_blanket.TBR=1.110,blanket.T=6.000_blanket.TBR=1.130,blanket.T=6.000_blanket.TBR=1.150,blanket.T=12.000_blanket.TBR=1.050,blanket.T=12.000_blanket.TBR=1.070,blanket.T=12.000_blanket.TBR=1.090,blanket.T=12.000_blanket.TBR=1.110,blanket.T=12.000_blanket.TBR=1.130,blanket.T=12.000_blanket.TBR=1.150,blanket.T=18.000_blanket.TBR=1.050,blanket.T=18.000_blanket.TBR=1.070,blanket.T=18.000_blanket.TBR=1.090,blanket.T=18.000_blanket.TBR=1.110,blanket.T=18.000_blanket.TBR=1.130,blanket.T=18.000_blanket.TBR=1.150,blanket.T=24.000_blanket.TBR=1.050,blanket.T=24.000_blanket.TBR=1.070,blanket.T=24.000_blanket.TBR=1.090,blanket.T=24.000_blanket.TBR=1.110,blanket.T=24.000_blanket.TBR=1.130,blanket.T=24.000_blanket.TBR=1.150
0.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
0.0015791790481924,2999.494112797432,2999.494112797432,2999.494112797433,2999.494112797433,2999.494112797432,2999.494112797432,2999.494112797432,2999.494112797432,2999.494112797433,2999.494112797433,2999.494112797432,2999.494112797432,2999.494112797432,2999.494112797432,2999.494112797433,2999.494112797433,2999.494112797432,2999.494112797432,2999.494112797432,2999.494112797432,2999.494112797433,2999.494112797433,2999.494112797432,2999.494112797432
0.0015791790481924,2999.494112797432,2999.494112797432,2999.494112797433,2999.494112797433,2999.494112797432,2999.494112797432,2999.494112797432,2999.494112797432,2999.494112797433,2999.494112797433,2999.494112797432,2999.494112797432,2999.494112797432,2999.494112797432,2999.494112797433,2999.494112797433,2999.494112797432,2999.494112797432,2999.494112797432,2999.494112797432,2999.494112797433,2999.494112797433,2999.494112797432,2999.494112797432
0.3317784796028972,2923.849465785773,2923.849465810134,2923.849465834922,2923.849465860143,2923.849465885793,2923.84946591187,2923.849465785941,2923.849465810308,2923.849465835106,2923.849465860331,2923.849465885987,2923.84946591207,2923.849465785996,2923.849465810365,2923.849465835163,2923.849465860396,2923.849465886051,2923.849465912137,2923.849465786025,2923.849465810392,2923.849465835196,2923.849465860424,2923.849465886084,2923.849465912171
0.3317784796028972,2923.849465785773,2923.849465810134,2923.849465834922,2923.849465860143,2923.849465885793,2923.84946591187,2923.849465785941,2923.849465810308,2923.849465835106,2923.849465860331,2923.849465885987,2923.84946591207,2923.849465785996,2923.849465810365,2923.849465835163,2923.849465860396,2923.849465886051,2923.849465912137,2923.849465786025,2923.849465810392,2923.849465835196,2923.849465860424,2923.849465886084,2923.849465912171
1.0,2872.969095862853,2872.96909586203,2872.969095861212,2872.969095860406,2872.969095859606,2872.969095858814,2872.969095862856,2872.969095862114,2872.969095861386,2872.969095860665,2872.969095859954,2872.969095859259,2872.969095862485,2872.969095861754,2872.969095861038,2872.969095860337,2872.969095859639,2872.969095858957,2872.969095862215,2872.969095861486,2872.969095860774,2872.969095860072,2872.969095859384,2872.969095858706
1.13043877413503,2865.901781155264,2866.485509523408,2867.05425827616,2867.608693259619,2868.149440655833,2868.677090032157,2842.826625683414,2843.568050071448,2844.290656925023,2844.995243462329,2845.682559765647,2846.353306802759,2826.392579701073,2827.23790065413,2828.062343160229,2828.866766604655,2829.651981982948,2830.418754582524,2823.320190589667,2823.320190589739,2823.320190589811,2823.320190589879,2823.320190589945,2823.320190590008
1.13043877413503,2865.901781155264,2866.485509523408,2867.05425827616,2867.608693259619,2868.149440655833,2868.677090032157,2842.826625683414,2843.568050071448,2844.290656925023,2844.995243462329,2845.682559765647,2846.353306802759,2826.392579701073,2827.23790065413,2828.062343160229,2828.866766604655,2829.651981982948,2830.418754582524,2813.334055313141,2814.254207472078,2815.152153648519,2816.028792208102,2816.884970671058,2817.721489377087
2.0,2823.320168579871,2823.320167491643,2823.320166754631,2823.320166864936,2823.320167393515,2823.32017106177,2823.32016848067,2823.32016764639,2823.320166701486,2823.320165897304,2823.320165296045,2823.320164712067,2823.320180768332,2823.320177822855,2823.320175696137,2823.320174353405,2823.320173744225,2823.320174067573,2813.334055313141,2814.254207472078,2815.152153648519,2816.028792208102,2816.884970671058,2817.721489377087
3.0,2782.136880702774,2782.136880323355,2782.136883496522,2782.136883006982,2782.136883348357,2782.136882340933,2782.136880071463,2782.136879490813,2782.136878964903,2782.136878557443,2782.136878335833,2782.136878369377,2782.136881067006,2782.136881291772,2782.136881325957,2782.136881570693,2782.136881773396,2782.136881833828,2782.136861159493,2782.136863011865,2782.136861733085,2782.13686261887,2782.136863411768,2782.136864060018
4.0,2747.823199885675,2747.823199966291,2747.823199576963,2747.823194870173,2747.823194461721,2747.823200006122,2747.823192625182,2747.823192731145,2747.823192931661,2747.823193083565,2747.823193237061,2747.823193414434,2747.823189798698,2747.823189628908,2747.823189572055,2747.823189690937,2747.823190073636,2747.823190261997,2747.823177805099,2747.823177775925,2747.823173892604,2747.823174654773,2747.823175391816,2747.823176119326
