time,sds.I[1]_blanket.TBR=1.050,sds.I[1]_blanket.TBR=1.060,sds.I[1]_blanket.TBR=1.070,sds.I[1]_blanket.TBR=1.080,sds.I[1]_blanket.TBR=1.090,sds.I[1]_blanket.TBR=1.100,sds.I[1]_blanket.TBR=1.110,sds.I[1]_blanket.TBR=1.120,sds.I[1]_blanket.TBR=1.130,sds.I[1]_blanket.TBR=1.140,sds.I[1]_blanket.TBR=1.150,sds.I[1]_blanket.TBR=1.160,sds.I[1]_blanket.TBR=1.170,sds.I[1]_blanket.TBR=1.180,sds.I[1]_blanket.TBR=1.190,sds.I[1]_blanket.TBR=1.200,sds.I[1]_blanket.TBR=1.210,sds.I[1]_blanket.TBR=1.220,sds.I[1]_blanket.TBR=1.230,sds.I[1]_blanket.TBR=1.240,sds.I[1]_blanket.TBR=1.250
0.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
0.0015791790481924,2999.494112797432,2999.494112797433,2999.494112797432,2999.494112797433,2999.494112797433,2999.494112797433,2999.494112797433,2999.494112797433,2999.494112797432,2999.494112797432,2999.494112797432,2999.494112797433,2999.494112797433,2999.494112797433,2999.494112797433,2999.494112797433,2999.494112797433,2999.494112797432,2999.494112797433,2999.494112797432,2999.494112797432
0.0015791790481924,2999.494112797432,2999.494112797433,2999.494112797432,2999.494112797433,2999.494112797433,2999.494112797433,2999.494112797433,2999.494112797433,2999.494112797432,2999.494112797432,2999.494112797432,2999.494112797433,2999.494112797433,2999.494112797433,2999.494112797433,2999.494112797433,2999.494112797433,2999.494112797432,2999.494112797433,2999.494112797432,2999.494112797432
0.3317784796019558,2923.849465786025,2923.849465798156,2923.849465810392,2923.84946582274,2923.849465835196,2923.849465847756,2923.849465860424,2923.8494658732,2923.849465886084,2923.849465899073,2923.849465912171,2923.849465925375,2923.849465938687,2923.849465952102,2923.849465965624,2923.849465979256,2923.849465992987,2923.849466006828,2923.849466020774,2923.849466034825,2923.849466048983
0.3317784796019558,2923.849465786025,2923.849465798156,2923.849465810392,2923.84946582274,2923.849465835196,2923.849465847756,2923.849465860424,2923.8494658732,2923.849465886084,2923.849465899073,2923.849465912171,2923.849465925375,2923.849465938687,2923.849465952102,2923.849465965624,2923.849465979256,2923.849465992987,2923.849466006828,2923.849466020774,2923.849466034825,2923.849466048983
1.0,2872.969095862215,2872.96909586185,2872.969095861486,2872.969095861128,2872.969095860774,2872.969095860423,2872.969095860072,2872.969095859725,2872.969095859384,2872.969095859042,2872.969095858706,2872.969095858374,2872.969095858042,2872.969095857711,2872.96909585739,2872.969095857069,2872.969095856745,2872.96909585643,2872.969095856114,2872.969095855802,2872.969095855497
2.0,2823.320190589667,2823.320190589704,2823.320190589739,2823.320190589774,2823.320190589811,2823.320190589846,2823.320190589879,2823.320190589911,2823.320190589945,2823.320190589976,2823.320190590008,2823.32019059004,2823.32019059007,2823.320190590097,2823.320190590131,2823.32019059016,2823.320190590185,2823.320190590214,2823.32019059024,2823.320190590265,2823.320190590295
2.225949698500419,2813.334055313141,2813.796965383325,2814.254207472078,2814.705898922559,2815.152153648519,2815.593082264193,2816.028792208102,2816.459387861132,2816.884970671058,2817.305639224131,2817.721489377087,2818.132614359573,2818.539104857953,2818.941049105076,2819.338532966152,2819.73164002089,2820.12045168386,2820.505047198365,2820.885503658246,2821.261896267939,2821.634298305647
2.225949698500419,2813.334055313141,2813.796965383325,2814.254207472078,2814.705898922559,2815.152153648519,2815.593082264193,2816.028792208102,2816.459387861132,2816.884970671058,2817.305639224131,2817.721489377087,2818.132614359573,2818.539104857953,2818.941049105076,2819.338532966152,2819.73164002089,2820.12045168386,2820.505047198365,2820.885503658246,2821.261896267939,2821.634298305647
3.0,2782.136861159493,2782.13686207922,2782.136863011865,2782.13686394879,2782.136861733085,2782.136862184915,2782.13686261887,2782.136863031177,2782.136863411768,2782.13686375582,2782.136864060018,2782.136864422534,2782.136864777709,2782.136865121057,2782.136865446121,2782.136865744267,2782.136866002467,2782.136866282929,2782.136866559141,2782.136866832731,2782.136867090444
4.0,2747.823177805099,2747.823177821402,2747.823177775925,2747.823177862822,2747.823173892604,2747.823174277093,2747.823174654773,2747.823175026069,2747.823175391816,2747.823175754935,2747.823176119326,2747.823176489852,2747.82317682273,2747.823177135409,2747.82317743823,2747.823177733957,2747.823178026173,2747.82317831997,2747.823178622322,2747.823179075153,2747.823179310521
5.0,2718.928310675142,2718.92831109524,2718.928311525716,2718.928311976476,2718.928315001879,2718.928315367717,2718.928315692176,2718.92831601165,2718.928316307383,2718.928316588316,2718.928316853761,2718.92831710265,2718.928317333911,2718.928317546537,2718.928317739634,2718.92831791245,2718.928318064457,2718.928318650695,2718.928318854631,2718.928320469883,2718.928320679084
6.0,2694.262925016556,2694.262925357365,2694.262925687417,2694.26292600609,2694.262930074551,2694.262895329954,2694.262893182123,2694.26288955733,2694.262886222931,2694.262883296328,2694.262880898472,2694.262879152891,2694.262878184721,2694.262878119898,2694.262879084444,2694.262881203737,2694.262883920195,2694.262932469111,2694.262932708775,2694.262933849895,2694.26293397608
7.0,2672.892641404217,2672.892641808586,2672.892642189931,2672.892642536558,2672.892655483904,2672.892374440893,2672.892381072401,2672.892382331327,2672.892381402071,2672.892380636675,2672.89238002668,2672.892379579327,2672.892379316616,2672.892379274182,2672.892379462389,2672.892379458373,2672.892380105415,2672.892660517368,2672.892660654955,2672.89265624721,2672.892656337768
