"time","div.outflow[1]","div.outflow[2]","div.outflow[3]","div.outflow[4]","div.outflow[5]","div.to_CL[1]","div.to_CL[2]","div.to_CL[3]","div.to_CL[4]","div.to_CL[5]"
85.7,0.226233454875588,0.07851199343856562,-0.0004112603386300427,4.752760789701142,-0.001217343611406849,0.226233454875588,0.07851199343856562,-0.0004112603386300427,4.752760789701142,-0.001217343611406849
85.75,0.2263682398232516,0.07854481154584798,-0.0004117551968712571,4.754767012218735,-0.001218178785818575,0.2263682398232516,0.07854481154584798,-0.0004117551968712571,4.754767012218735,-0.001218178785818575
85.8,0.226503029386752,0.07857763141752004,-0.0004122475909743988,4.756773195462488,-0.001219011489013948,0.226503029386752,0.07857763141752004,-0.0004122475909743988,4.756773195462488,-0.001219011489013948
85.84999999999999,0.2266378235529863,0.07861045312004708,-0.0004127374544886515,4.75877933949972,-0.001219841654542299,0.2266378235529863,0.07861045312004708,-0.0004127374544886515,4.75877933949972,-0.001219841654542299
85.90000000000001,0.2267726223089026,0.07864327672217863,-0.0004132247186790993,4.760785444400036,-0.001220669213668859,0.2267726223089026,0.07864327672217863,-0.0004132247186790993,4.760785444400036,-0.001220669213668859
85.95,0.2269074256415004,0.07867610229498076,-0.0004137093124942136,4.762791510235355,-0.001221494095342247,0.2269074256415004,0.07867610229498076,-0.0004137093124942136,4.762791510235355,-0.001221494095342247
86,0.2270422335378308,0.07870892991186869,-0.0004141911625333393,4.764797537079945,-0.001222316226161955,0.2270422335378308,0.07870892991186869,-0.0004141911625333393,4.764797537079945,-0.001222316226161955
86.05,0.2271770459849968,0.0787417596486393,-0.000414670193014182,4.766803525010457,-0.001223135530345835,0.2271770459849968,0.0787417596486393,-0.000414670193014182,4.766803525010457,-0.001223135530345835
86.09999999999999,0.227311862956635,0.07877459040573095,-0.000415147503508763,4.768809472928186,-0.001223953107466056,0.227311862956635,0.07877459040573095,-0.000415147503508763,4.768809472928186,-0.001223953107466056
86.15000000000001,0.2274466842902918,0.07880740922512959,-0.0004156360519988012,4.770815367876023,-0.001224781915504485,0.2274466842902918,0.07880740922512959,-0.0004156360519988012,4.770815367876023,-0.001224781915504485
86.2,0.2275815101174532,0.0788402287550078,-0.0004161231903714878,4.772821222502944,-0.001225609306348458,0.2275815101174532,0.0788402287550078,-0.0004161231903714878,4.772821222502944,-0.001225609306348458
86.25,0.227716340424349,0.07887304898654618,-0.0004166089274605763,4.774827036800985,-0.001226435288831878,0.227716340424349,0.07887304898654618,-0.0004166089274605763,4.774827036800985,-0.001226435288831878
86.3,0.2278511751972279,0.07890586991041991,-0.0004170932726051324,4.776832810761673,-0.001227259872293957,0.2278511751972279,0.07890586991041991,-0.0004170932726051324,4.776832810761673,-0.001227259872293957
86.34999999999999,0.2279860144223566,0.07893869151678728,-0.0004175762356611642,4.778838544376022,-0.001228083066590851,0.2279860144223566,0.07893869151678728,-0.0004175762356611642,4.778838544376022,-0.001228083066590851
86.40000000000001,0.2281208580860206,0.07897151379527803,-0.0004180578270132518,4.780844237634515,-0.001228904882107286,0.2281208580860206,0.07897151379527803,-0.0004180578270132518,4.780844237634515,-0.001228904882107286
86.45,0.2282557061745231,0.0790043367349816,-0.0004185380575861768,4.782849890527093,-0.001229725329768192,0.2282557061745231,0.0790043367349816,-0.0004185380575861768,4.782849890527093,-0.001229725329768192
86.5,0.2283905586741853,0.07903716032443567,-0.000419016938856553,4.78485550304315,-0.001230544421050329,0.2283905586741853,0.07903716032443567,-0.000419016938856553,4.78485550304315,-0.001230544421050329
